DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW),BLOCK
2022-10-21,8.357916666666666,222169.0,43929.0,275925.51,57435.229999999996,Weekday
2022-10-22,9.409166666666666,216245.0,43386.0,271935.42000000004,57354.630000000005,Sat
2022-10-23,8.882916666666667,201890.0,39640.0,270973.81999999995,55983.05,Sun / Hol
2022-10-24,8.706249999999999,224677.0,42833.0,281641.05,54409.60000000001,Weekday
2022-10-25,8.09625,215923.0,42148.0,278795.68,53517.8,Weekday
2022-10-26,8.164583333333333,212649.0,40676.0,277304.43000000005,54337.72999999999,Weekday
2022-10-27,8.855,218002.0,41606.0,278443.58999999997,55800.06,Weekday
2022-10-28,8.388333333333334,212835.0,38116.0,276597.42,51505.6,Weekday
2022-10-29,2.7125,165144.0,33713.0,257847.00000000006,52351.420000000006,Sat
2022-10-30,7.142916666666667,155100.0,35636.0,217331.66,53256.34,Sun / Hol
2022-10-31,7.577500000000001,170666.0,37175.0,240241.71000000002,52848.71000000003,Weekday
2022-11-01,3.703333333333333,167136.0,37113.0,256696.88,52161.719999999994,Sun / Hol
2022-11-02,6.570416666666667,201014.0,39939.0,281967.23,49651.719999999994,Sun / Hol
2022-11-03,8.37625,216135.0,42388.0,288554.75000000006,52468.19,Weekday
2022-11-04,8.170416666666666,213853.0,42647.0,294129.4700000001,52654.03000000001,Weekday
2022-11-05,8.842083333333333,203386.0,42051.0,277244.1000000001,52866.32000000001,Sat
2022-11-06,6.585,190215.0,39380.0,282544.70000000007,54508.90999999999,Sun / Hol
2022-11-07,8.69875,217347.0,43737.0,286000.28,56850.840000000004,Weekday
2022-11-08,9.695416666666667,216860.0,44267.0,286541.32999999996,56952.33,Weekday
2022-11-09,8.645833333333334,219219.0,43531.0,277639.38999999996,57221.97,Weekday
2022-11-10,8.685833333333333,223985.0,42797.0,280836.37,56919.61,Weekday
2022-11-11,9.305416666666668,223921.0,43033.0,284686.86,57323.87,Weekday
2022-11-12,9.091666666666667,210665.0,41717.0,280790.51,58190.1,Sat
2022-11-13,8.05875,196676.0,39755.0,272049.51999999996,58311.200000000004,Sun / Hol
2022-11-14,9.844166666666666,222994.0,43196.0,281455.62,57645.41,Weekday
2022-11-15,9.164166666666667,223959.0,43911.0,272434.77999999997,56577.62,Weekday
2022-11-16,8.07625,225519.0,42995.0,281002.37999999995,56939.23999999999,Weekday
2022-11-17,9.70375,223491.0,42517.0,281120.72,57235.009999999995,Weekday
2022-11-18,9.160416666666666,216498.0,40412.0,272698.79,56529.02999999999,Weekday
2022-11-19,7.248333333333334,199970.0,38181.0,262552.86,54833.02999999999,Sat
2022-11-20,7.409583333333334,189840.0,36624.0,274024.19,55052.8,Sun / Hol
2022-11-21,9.352500000000001,210748.0,41941.0,286982.04,58903.82000000001,Weekday
2022-11-22,10.237916666666667,218947.0,43421.0,276143.89,59944.869999999995,Weekday
2022-11-23,7.43625,221704.0,44066.0,278392.88,59006.11,Weekday
2022-11-24,9.324583333333333,226035.0,44619.0,275811.01,56045.84000000001,Weekday
2022-11-25,10.294583333333334,222722.0,44454.0,276190.1400000001,55385.44,Weekday
2022-11-26,7.565833333333334,208922.0,41899.0,259246.08000000002,54594.100000000006,Sat
2022-11-27,9.149583333333334,192853.0,38731.0,225885.05,54913.720000000016,Sun / Hol
2022-11-28,10.419166666666667,214076.0,43753.0,241445.58000000002,52646.380000000005,Weekday
2022-11-29,7.564583333333334,224022.0,44471.0,255403.97000000003,58063.090000000004,Weekday
2022-11-30,9.143749999999999,208421.0,41130.0,257411.82000000004,58787.78,Sun / Hol
2022-12-01,10.42625,218838.0,42621.0,248854.61000000002,57992.09,Weekday
2022-12-02,7.560833333333334,219164.0,42206.0,261408.71,55471.490000000005,Weekday
2022-12-03,9.174583333333333,210669.0,40848.0,254866.95,53022.68,Sat
2022-12-04,10.439583333333333,196395.0,38164.0,247532.42,52965.31999999999,Sun / Hol
2022-12-05,7.523333333333333,215017.0,41249.0,247638.81000000006,51421.28000000001,Weekday
2022-12-06,9.170833333333333,220173.0,42240.0,248546.34,53417.14999999999,Weekday
2022-12-07,10.431666666666667,221173.0,42169.0,252904.69999999998,54652.82000000001,Weekday
2022-12-08,7.62,209009.0,40452.0,238477.27000000002,55141.46,Sun / Hol
2022-12-09,9.065833333333334,212320.0,40945.0,241498.24999999997,54793.13999999999,Weekday
2022-12-10,9.774166666666668,199245.0,39399.0,243500.74000000002,55571.950000000004,Sat
2022-12-11,7.0687500000000005,185515.0,37540.0,236311.56,56089.49,Sun / Hol
2022-12-12,10.270416666666668,210386.0,41856.0,257363.16999999995,56192.06,Weekday
2022-12-13,9.837083333333334,216731.0,43095.0,250521.02000000002,56493.60999999999,Weekday
2022-12-14,6.957083333333333,219996.0,43429.0,254149.71000000002,54262.20999999999,Weekday
2022-12-15,10.303749999999999,219294.0,43377.0,250287.50999999998,53336.210000000014,Weekday
2022-12-16,9.849166666666667,218934.0,42750.0,244266.6,54335.31,Weekday
2022-12-17,6.94125,204329.0,41152.0,237935.53999999998,56362.76999999998,Sat
2022-12-18,8.880416666666667,184340.0,38217.0,246708.49000000002,57863.95,Sun / Hol
2022-12-19,8.4475,197891.0,40866.0,267234.88,58528.08,Weekday
2022-12-20,8.605,200508.0,41097.0,269393.83,55577.98,Weekday
2022-12-21,7.555833333333333,202935.0,41646.0,282308.07000000007,58666.689999999995,Weekday
2022-12-22,6.0754166666666665,196479.0,41178.0,286497.63,61162.28999999999,Weekday
2022-12-23,5.047083333333333,182886.0,39606.0,287070.23,60878.44000000002,Weekday
2022-12-24,2.049166666666667,153663.0,34379.0,274824.5800000001,60060.1,Sun / Hol
2022-12-25,1.6537499999999998,134180.0,30971.0,263752.31999999995,59437.60999999999,Sun / Hol
