DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW)
10-08,0.1596540149631259,5565.709535266199,883.8030172688574,1900.835667151704,464.86274744531204
10-09,-0.5131736782244593,5811.801730514177,525.7436442666776,7099.905843955565,1474.8277605962016
10-10,-0.3400385534081301,6244.032086231814,684.9711597185179,7535.85840823498,2064.316844197187
10-11,0.9595580847806707,4606.355984023828,720.7599276165346,1946.974397171929,2345.5342839625605
10-12,-0.8302389495680368,1983.7409385673084,466.9209068648492,5334.168233466975,2527.748064236737
10-13,0.3159162339567073,2604.933329509997,309.9766023558242,4977.519153910776,2060.0318445109124
10-14,-0.630329267450056,687.2145658538683,282.94893189767845,6427.712050871212,2570.102160988613
10-15,-1.2332975346754753,-185.86584163787128,11.138091185130051,8737.57627855572,2405.8347083860795
10-16,-0.6984482872237913,465.11402484297844,279.7346868718013,8285.214204870377,1743.086159893133
10-17,-0.926197050209158,2695.3154177426036,764.3551573138501,10372.639313181095,1475.6983550401098
10-18,-1.1496385724900247,1471.9320748301204,614.462124820482,11462.167063370476,959.3154816939323
10-19,0.13859423660549502,2351.243448160287,771.4782899787756,6744.199666788831,1443.7403969974655
10-20,0.9930754149117131,2814.8526688485845,738.8451400685714,1131.4906655105046,1095.6446273694894
10-21,0.0589176499693985,4087.2110089106523,1132.8538688276492,-209.8422496621414,-206.90458648549216
10-22,0.20765274216994142,6690.299681653723,1276.3342218528692,138.09233027283335,-136.66252832481683
10-23,-0.46044957593610436,6639.079548134587,1064.5069427841536,5005.104581440703,192.40933414114292
10-24,-0.047424692476591895,4392.361958646741,1018.1669435588861,6204.053153547911,361.80422987520467
10-25,-0.6266763908827032,2505.373527671636,814.7748895390982,3897.592469295025,-334.28202898956044
10-26,-0.7138701962685925,-1394.6340813856625,288.4971212335943,3234.707107938406,-261.0828671106841
10-27,0.16756646148968068,2047.5649631773802,588.568863691301,-3090.422578271412,286.07451394627356
10-28,0.12848142975023574,999.7115615564745,612.7834632918606,-1340.062088356004,917.0133040051851
10-29,-0.8813650175143226,-3570.3120944675616,48.72839557344287,727.2083232815161,438.9453817353303
10-30,-1.5048277400561152,-13242.751797458317,-1602.249177037346,1585.2645079131803,-72.88054444841764
10-31,-1.8382788839938633,-27701.308525889417,-3973.242796614864,-31.85079473502367,265.01380334043887
11-01,-1.4713016195819701,-24070.609285631646,-2840.6094103215396,-350.35414043601907,-552.2169173638599
11-02,-0.5700546226195227,-11196.579712692854,-1244.1364936955363,-893.8784841800932,82.8435361001365
11-03,0.841000430442077,-1374.6534665642566,72.11528790111373,1706.5834930151427,155.42306979897518
11-04,0.1527715630861939,1855.31191850761,603.8641340770184,4716.565372363066,953.482877470413
11-05,0.2569609931862804,3146.300395555983,265.2474225229831,4482.402085370446,-26.404751257368787
11-06,0.64965368486497,3663.3608882599233,254.7547814190458,2006.358641822053,-346.0645717659683
11-07,0.9117225996356368,2582.439776267201,120.12671957146748,2049.5580554165354,53.02707543580339
11-08,0.5882605294095651,-221.83202065703577,508.39650508201197,3486.8388388740505,603.4210514046949
11-09,-0.5347649785203554,-217.29872951864317,723.5171712187796,6330.860463818801,770.6810352013742
11-10,-0.2517800493987427,1626.8263424416712,691.6648432263873,6002.346531033636,360.32870980040786
11-11,-0.005031258568063232,620.619516163226,643.3788557428024,7897.30257867899,512.6662865520778
11-12,-0.6542943724992882,-12485.873415790371,1055.9715375351432,2624.0603288683797,592.2762116403468
11-13,-1.0084591498356013,-2279.610183360399,1419.05071639207,7794.596239527443,763.8994243998493
11-14,-0.3659416049279481,445.2761410460863,1567.9933003370547,8104.3858292471605,1017.8565706231481
11-15,-0.6214115029426703,3438.746809875278,1417.8583891744086,7561.668667499151,1009.1192745763841
11-16,-0.7653885764303201,2360.4777526770667,1086.7489183248724,7774.460057610296,737.7992779425387
11-17,-0.3517945475044026,3483.5856035023517,1372.222617729741,5405.3915651382285,1223.7443106628969
11-18,-0.325525371807448,4321.340421059524,1331.2708768214973,8183.817906325653,909.232846318681
11-19,-0.6164960852168204,4519.89132472238,1050.0541652674624,11908.80923772838,713.0748849098842
11-20,-1.067998435938652,3555.5173751562766,1008.7161229893566,9937.781175784701,489.0954949296588
11-21,-0.3675056790283896,2682.8858913435847,1546.2888439206433,7452.602154936912,719.0306646363193
11-22,-0.461425348732609,2651.75068933129,1470.560194988915,8513.219122347427,852.1462453018854
11-23,-0.9793685018027772,874.4248806653667,1083.8468102450574,9772.480806000614,1957.0735089420093
11-24,-0.025195053437851153,-1373.1298908185506,644.3228579865213,7337.716207853418,1940.7585025234275
11-25,0.0771899082995468,-1555.64708891695,820.7186708943268,2547.9900832874077,2382.6365880813637
11-26,0.3538023651445782,238.26545858152156,1302.3481432933231,426.69873367249966,2933.2946736393023
11-27,0.8297481553229419,1046.5130354341875,993.8159718567033,302.4860337640233,2332.8041486297207
11-28,-0.9749350499324839,-3792.8538691221397,450.78438750423385,-1293.744826614096,3200.281275283545
11-29,-0.6075729192453136,-11825.712358805673,-516.8875099597801,-647.1950803386155,2821.7198305087995
11-30,-0.25068697903433373,-9475.864781952998,-410.01968139640053,1113.3228851149447,2360.803043268299
12-01,-0.428417803337379,-4665.768281421253,225.15147397715594,1181.299598122344,2222.569974227412
12-02,0.12360430778031944,-7490.025205547051,74.86666066186848,-4761.783473606076,2374.050545108244
12-03,-0.05672044998652168,-3492.1267480681613,789.455819949319,364.3138069160008,1994.9677891788972
12-04,-1.1800039487840224,-2111.5355312937863,904.7635702348124,4245.49273127369,1196.777812114522
12-05,-0.5692019942220965,-2610.7407920144974,1027.5257236514271,4219.262634104962,966.017913328037
12-06,-0.5961524858441238,-3117.1331368839296,813.5681119016953,789.8539067992325,1539.9945898840122
12-07,-0.7916589135392108,-6477.799845745541,451.12987392887425,1144.8409916265891,1811.835728279523
12-08,-0.8012587854613034,-7534.703345213799,346.40122499714965,-124.66348910378707,1566.035046714167
12-09,1.0332315252650055,-3139.690993410039,1070.7273705859702,-2431.295582358638,22.35221250693815
12-10,-0.2148265984509553,-3176.7588764399475,1018.3881541395675,-3671.4468145567184,-263.53860604472067
12-11,0.2817367716360845,-1901.8807712115508,857.2959044250616,-3832.0857179876807,238.52732687133883
12-12,-0.05303253929448816,-2938.586227626967,425.7539482526277,-3944.255169363842,1007.8273498069626
12-13,-0.27351189588716174,-5860.136693827137,959.4750057788285,-809.1635835579946,1125.9230870283004
12-14,0.37882185906615357,-9385.793617952933,230.78158189602243,-4419.438807928303,1307.1527577134343
12-15,-0.005093407506950306,-11258.302988262678,-474.8891413996962,-3342.314032298596,1144.568984171565
12-16,-0.1752903113925137,-10755.314119824876,-2395.4487100965875,319.3195495933261,900.5645452676579
12-17,0.07609399802916425,-10716.55499698394,-2052.6982983629537,-992.3295495323587,-3603.7397762194164
12-18,-0.7966903161629869,-8875.18648079662,136.51512706931095,4381.372545079739,-1781.084547804341
12-19,-0.970563834529959,-11034.576085940034,-4048.1109778311047,1418.3919586742331,-1563.9188692914142
12-20,-0.27335206261643513,-11424.058450378941,-3704.38130973739,4408.427928041709,-2377.15898334209
12-21,-0.25991442638458145,-13223.660579984185,-3990.8790389039505,3229.675991342644,-1836.5355748878758
12-22,-1.556700208287105,-20460.01535146811,-4316.802208383621,8123.052273821647,-1332.8793288602742
12-23,-1.8475910130206787,-33933.939203186856,-5836.428313284037,10170.035170782085,-2378.3403235371707
12-24,-3.2850935268214396,-44285.12998249857,-7273.0912087911065,9539.027206685761,-2224.3276313256197
12-25,-1.8243585976998278,-36331.17555633081,-5540.437861636728,9026.293782706847,-2388.9269312862716
12-26,-1.8243585976998278,-36331.17555633081,-5540.437861636728,9026.293782706847,-2388.9269312862716
12-27,-1.3325820834510136,-23335.70058221787,-3776.6851015665,8977.254937984308,-2404.211100131467
12-28,-1.631719463527053,-23849.14419910298,-4053.1695234923545,3903.904539445706,-2740.6936877633534
12-29,-1.6625315011373385,-29863.952982328574,-4717.577624478874,3869.529170261334,-1078.629539583111
12-30,-1.8067293834964828,-37017.75002387121,-5658.173983782419,5756.515660176748,-1342.0853013832964
12-31,-2.4119171549619542,-48713.34549985611,-6317.529247195553,6280.592275336771,-1715.287939895809
