DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW)
01-27,0.47417829105986187,-12544.330075032703,-973.8482643510357,-7224.096189083399,-2059.3536234812645
01-28,0.28330973980337887,-14171.139967878156,-1028.4306212950798,-13088.275607980226,-2049.1824767497783
01-29,-0.0015310880349695584,-13318.47706228916,-1027.3546612136822,-9686.218255839893,-2840.024555067216
01-30,-0.19682755840430324,-13742.21885337337,-1103.2520866508787,-9592.99348686981,-2498.667365282892
01-31,-0.522879736536194,-15377.46553682546,-1544.3283770587188,-10360.853868584643,-1568.0861637568885
02-01,-0.7157389922936556,-15808.96701479811,-1805.101732045816,-8710.725322706525,-1346.983662817967
02-02,-0.9262199049330477,-16525.7197647864,-1830.2977876199955,-8428.363027317644,-495.21118536241005
02-03,-0.4891355860003591,-16394.625939432244,-1912.4139997499492,-11054.227612554989,-353.25589381683227
02-04,0.402429815776426,-15525.005303901946,-1556.7165132497687,-14358.053035365703,-223.69703279963215
02-05,-0.5959764067129338,-16221.554922774814,-1241.5055238141615,-12401.759017863315,-427.0255807843898
02-06,-0.4993873584912693,-14475.309629710273,-1012.1794658854052,-11187.81326259186,-212.72480195897276
02-07,-0.16915887778428196,-15710.037722164334,-1225.001353162128,-12987.184430999449,-516.797060315552
02-08,0.25837227741716073,-12807.415521076317,-794.83654767956,-13360.123896863011,-24.29553393631555
02-09,-0.025359776774743114,-11923.589406093972,-1272.2877891637215,-13583.983374468258,-747.8426846608008
02-10,0.34521867131645806,-12874.107713812216,-1447.4059582408406,-13733.613740527524,-886.7177923324485
02-11,0.18133527987732656,-12099.583360082313,-1115.9139511927115,-13118.247253357828,-1124.9017258357944
02-12,-0.5385383268259928,-12348.291100285878,-913.2923942424299,-7544.350108653889,-194.075068341099
02-13,-0.8225800679063502,-14127.039544990424,-1738.9389390534018,-5297.046619527229,-328.483111433487
02-14,-0.8307904326005371,-14160.905406524716,-1545.8124897352175,-5298.9051069172065,-972.9921799661894
02-15,0.07602252299229509,-11626.23545592594,-1468.472733176326,-11244.30146123478,-303.4734637630813
02-16,-0.33635108371102435,-11839.364331158857,-1739.1541116467874,-10161.859052342956,-873.477095896568
02-17,-0.5494353883921649,-9721.517472536587,-1401.5720850291855,-8305.820514292647,-471.3016125701716
02-18,0.1192934184726829,-10487.798598258742,-1614.067162129786,-11547.488034950731,-177.6430490089382
02-19,-0.40093292795666396,-10261.939997953506,-1196.368501461306,-8002.315786528572,-489.8606498312694
02-20,0.17652891869944304,-11696.225820348849,-1634.456142162686,-8776.6494833119,-882.1807359764962
02-21,0.04135051747557558,-10904.31555663853,-1489.7911409853994,-9834.519955046304,-1568.218035428964
02-22,0.07667766093533507,-9846.49883500256,-1293.7582337415747,-8621.948610733736,-1337.6269474058918
02-23,0.5621646217466932,-9371.329471487936,-1176.3562462629175,-8356.407736088498,-1994.8442781695135
02-24,-0.0984195198555173,-9504.356976857838,-1220.6129671991343,-8858.235961247567,-1501.2708104986957
